the_geom,cartodb_id,lat,long
,199,40.795477,-73.950235
,200,40.794143,-73.951208
,201,40.794143,-73.951208
,202,40.793037,-73.952011
,203,40.793037,-73.952011
,204,40.791537,-73.953107
,205,40.791537,-73.953107
,206,40.789167,-73.954842
,207,40.789167,-73.954842
,208,40.788179,-73.955552
,209,40.788179,-73.955552
,210,40.78652,-73.956772
,211,40.78652,-73.956772
,212,40.785424,-73.957571
,213,40.785424,-73.957571
,214,40.785332,-73.957639
,215,40.784712,-73.958099
,216,40.784092,-73.958549
,217,40.783963,-73.958639
,218,40.783963,-73.958639
,219,40.783452,-73.958999
,220,40.783392,-73.959049
,221,40.782832,-73.959459
,222,40.782202,-73.959919
,223,40.782148,-73.959957
,224,40.782148,-73.959957
,225,40.781522,-73.960409
,226,40.781212,-73.960639
,227,40.780842,-73.960909
,228,40.780399,-73.961239
,229,40.780399,-73.961239
,230,40.778512,-73.962617
,231,40.778512,-73.962617
,232,40.776214,-73.964293
,233,40.776214,-73.964293
,234,40.775577,-73.964756
,235,40.775577,-73.964756
,236,40.774313,-73.965674
,237,40.774313,-73.965674
,238,40.771763,-73.967538
,239,40.771763,-73.967538
,240,40.770226,-73.968661
,241,40.770226,-73.968661
,242,40.768193,-73.970141
,243,40.768193,-73.970141
,244,40.768032,-73.970259
,245,40.767382,-73.970729
,246,40.767321,-73.970774
,247,40.767321,-73.970774
,248,40.766762,-73.971189
,249,40.766132,-73.971649
,250,40.766053,-73.971706
,251,40.766053,-73.971706
,252,40.764409,-73.972916
,253,40.764409,-73.972916
,254,40.761758,-73.974839
,255,40.761758,-73.974839
,256,40.761662,-73.974909
,257,40.761032,-73.975369
,258,40.760402,-73.975829
,259,40.760292,-73.975909
,260,40.760172,-73.975999
,261,40.759884,-73.976213
,262,40.759884,-73.976213
,263,40.759782,-73.976289
,264,40.759152,-73.976749
,265,40.758932,-73.976909
,266,40.758853,-73.976966
,267,40.758853,-73.976966
,268,40.758782,-73.977019
,269,40.758532,-73.977199
,270,40.758242,-73.977399
,271,40.757902,-73.977649
,272,40.757732,-73.977779
,273,40.757272,-73.978109
,274,40.756652,-73.978569
,275,40.756119,-73.978958
,276,40.756119,-73.978958
,277,40.75484,-73.979896
,278,40.75484,-73.979896
,279,40.75317,-73.981103
,280,40.75317,-73.981103
,281,40.750903,-73.982755
,282,40.750903,-73.982755
,283,40.750342,-73.983179
,284,40.749722,-73.983619
,285,40.749437,-73.983827
,286,40.749437,-73.983827
,287,40.749092,-73.984079
,288,40.748432,-73.984559
,289,40.748272,-73.984679
,290,40.747762,-73.985049
,291,40.747463,-73.985265
,292,40.747463,-73.985265
,293,40.747142,-73.985499
,294,40.746532,-73.985949
,295,40.746222,-73.986169
,296,40.746222,-73.986169
,297,40.745912,-73.986389
,298,40.745292,-73.986849
,299,40.745031,-73.987038
,300,40.745031,-73.987038
,301,40.744672,-73.987299
,302,40.744052,-73.987749
,303,40.743672,-73.988029
,304,40.743432,-73.988199
,305,40.743107,-73.988426
,306,40.743107,-73.988426
,307,40.742802,-73.988639
,308,40.742312,-73.988979
,309,40.741892,-73.989279
,310,40.741532,-73.989569
,311,40.74115,-73.989857
,312,40.74115,-73.989857
,313,40.740872,-73.990069
,314,40.740252,-73.990519
,315,40.739662,-73.990939
,316,40.739365,-73.991164
,317,40.739365,-73.991164
,318,40.739082,-73.991379
,319,40.738492,-73.991799
,320,40.737902,-73.992219
,321,40.737626,-73.992423
,322,40.737626,-73.992423
,323,40.737322,-73.992649
,324,40.736682,-73.993119
,325,40.735992,-73.993619
,326,40.735669,-73.993847
,327,40.735669,-73.993847
,328,40.735302,-73.994109
,329,40.734662,-73.994589
,330,40.734431,-73.994755
,331,40.734431,-73.994755
,332,40.734022,-73.995049
,333,40.733432,-73.995489
,334,40.733187,-73.995663
,335,40.733187,-73.995663
,336,40.732842,-73.995909
,337,40.732242,-73.996349
,338,40.73205,-73.995888
,339,40.73205,-73.995888
,340,40.731592,-73.994789
,341,40.731458,-73.994472
,342,40.731458,-73.994472
,343,40.731272,-73.994029
,344,40.730942,-73.993249
,345,40.730754,-73.992805
,346,40.730754,-73.992805
,347,40.730582,-73.992399
,348,40.730103,-73.991255
,349,40.730103,-73.991255
,350,40.730042,-73.991109
,351,40.729872,-73.990719
,352,40.730232,-73.990609
,353,40.73029,-73.990592
